47394 businesses are restaurants.
('O8S5hYJ1SMc8fA4QBtVujA', 'La Bastringue')
('DQiYI7teoXNpsp3oDaJEhA', 'Weinkontor')
('KSUpHqi0pu-rpouVs-KVdA', 'Carte Blanche')
('nGuhjKrZjqvB2xodGo7m7Q', "Schlotzsky's")
('fIMBFVFYfAo2g6022Q7pjQ', "Arby's")
('maBe6J_QSeYlAa1YNkAyVA', 'Higley Hot Dog Hut')
('KoKFVOm09q5LHkHNwFIjIQ', 'Pho 198')
('vwVoksbTKehDP8ZGUQaVfQ', 'Sweet Mahal')
('EunTJj_O_AWfrvDEyrP-GA', 'La Cabana')
('8vA1d9_w4hBjOcrM7mNWFg', 'Boston Market')
('JQOg5iKV-c8e3b6ty8Jjbg', "Sauter's Inn Restaurant")
('YV9GVfmDSDM7HSV0jVdTOA', 'El Pollo Loco')
('9duYfRH4imJbucLiOCqUWw', "Dave's Surf & Turf")
('F7OsiFk9aLZtqZczA84xpw', 'Popeyes Louisiana Kitchen')
('KDujtmsuciIxl3-D-Vn8dQ', 'Chicago Deep Dish Pizza')
('Omn2qqVcTpH9J883EVhQ7g', 'Quesada Mexican Grill')
('5ZqybrqiTdbANn2yI3B3VA', 'Great Wall')
('gwKOawUNlVvt-b38LNgpLw', 'Caspian Cafe & Catering')
('3YKV1eralyrKQqoWOTJMDA', 'Giulietta')
('xpqdm0KY-bZHr17MqObj_Q', 'Sea Hut')
('CcTvk2-unBwmAZmU3PlKww', 'Port of Subs')
('MDVbJicJvqaO4WGx0vEabQ', "Chili's")
('b9xYFHAwEaysVr8dZqM-PQ', "Arby's")
('nmworFdhhS0VN5h07FvHvQ', 'Meshi')
('8HK_pj0_EJUykVAD4zHa5w', 'Spices East Indian Dining')
('xxGO2bwU02mip8W_lYjtYA', 'Swiss Chalet Rotisserie & Grill')
('xS5Tg_H9GBEyOTWl9JwhvA', 'Latin World')
('YSBOJuLA70d6s1fAWBjbAA', 'Galaxy T&T')
('4qSb9hR5F4D_dq31FJVj8w', 'Rossini Restaurant')
('YJ6co6ywD4OeftiVIiJMKQ', "Papa Sammy's Pizza")
('Ksk5cLav4OtbUtpRGp5b4g', "India's Cafe & Kitchen")
('A6VyAvF5jNYTK3WivFsJSg', 'Semi Fast Food Korean Restaurant')
('sh69ApUyPhAltAMpv5vX3w', 'Barrio Cafe Gran Reserva')
('5T6kFKFycym_GkhgOiysIw', 'La Banquise')
('Eurlf_tYXQABim-jhXYuVw', 'Mandalay Restaurant')
('fHjdZOd_c2gpZnjCec9reQ', 'Madame Thai')
('3F3At4YBSHEnG7uMinQPnQ', 'Vocelli Pizza')
('Ufo0Papm3oyoCfBvnsJH7g', 'Bonbon Pastry and Cafe')
('dUeEAGxEwMv1Tafj6yr1BA', 'Crazy Mocha')
('V84XKSe9gMmky0sh1If_dA', "Domino's Pizza")
('J8PbfZbU7XTs-h55ezuQcQ', 'CHANG HUA GARDEN')
('pO1lsp8c9aBVlKmn1L9mOg', 'Non Solo Pane')
('7JPcocZoRjua4JwBd5ndPg', 'Villa Mia')
('V2td86VD0ezfCJcmUz-ddQ', 'Tropical Smoothie Cafe')
('SS0zUU0cUkQd1Lp_h3tgaQ', 'Hero Certified Burgers - Bloor & Bathurst')
('b0la3LqC0mIlBVlQDyMyTQ', 'The Wing Company')
('Ejl2X5njahhqUutgfGFwOg', '520 Sushi')
('mEuXIK4Njq37DBLmMlz_0g', 'Subway')
('bVl0_l6sCwjADKRLGxsXAw', "Arby's")
('Shga7lyRNRFQWoFqTPUQCw', 'GRAZERS')
('0xjqQ2h5SzWe8zsHr6BG5w', 'Subway')
('YA7kPicnPFqd_gydw0SOjw', 'Presse Café')
('YkAIlxYZ1guSqbbowU9X4g', 'Luckee')
('sYKB4nITCLLFcCZPn3QECQ', 'Teppan Kenta')
('D1TaFES4phv65RmsM8VCiA', "Domino's Pizza")
('4SQvBWjDh_eUx_10M-eigA', 'Lan Restaurant')
('0a1aewKFcvPsCQtIrluCmQ', "Freddy's Frozen Custard & Steakburgers")
('cabOEjEmUdFjDwe67HpXkA', "Tony's Pizza")
('FA_jCCA-33PXgZE7uMxc9Q', 'Subway')
('8GVGzFgTKNfPixL143Zadw', 'Texas Roadhouse')
('q3RBy36UgeLBib0_NI2zug', 'Haru Hana')
('0KbcIOCoDrIaBPx9hfoXcQ', 'Beaufort')
('UGyEr_PMA-v1cuim0gMPlQ', 'NYPD Pizza')
('HiHUTSxpyKhQqLFti3Xnzw', 'The Commoner Corner')
('u2rdnqqtCuObbFF3kSPYqg', 'Made Foods')
('OHFQfdO7N9nnhNDI4t_sCw', "Dilly's Drive-In - Peninsula")
('_xavJB9Uia1CsPDlGFw5Qg', 'Xe Lua Restaurant')
('iQT1y93mE8j3ZbNaXGd-sA', "PF Chang's")
('QoXT0qI6_3WeHImUuLAyjg', 'The George Street Diner')
('c4qE3ygdEQUD9dZjganavA', 'Royal Ganesha')
('zvf4U6LJdNGOEogmmCOsLA', "Arby's")
('CQqi9pqZwsslXF1aOVg8fQ', 'Balmoral Fish & Chips')
('Vyxzgeon5Ah9isl4h7SYBg', 'The Chopped Leaf')
('WeUIaYtfyeX9eQKw_5xeiQ', "Caz's Great Fish")
('2ipAUIW4kVsE6nl4aREgag', "Cole's Pub")
('XiE4MoZwMg01EL_4CB31Nw', "Sammy's of Parma")
('6E7heoeb5zO4iwKmqScVZw', 'Kam Ho')
('D31JSfofD0dYbIx7Yak2Yw', 'Scramblers')
('JQLUWnceJyKuMDqV0HHRUg', "McDonald's")
('ob_QLqrAO0QJNc4txd5lgw', "McDonald's")
('gG1eunP_GeV8NFCVwrWYmw', 'Jack in The Box')
('YGaowC1J4GfkQYyYLYWnQQ', 'El Penasco Mexican Kitchen')
('kaxBWp2iyyUmafaD2dgMJQ', 'Buffet des Continents')
('vwuHp4i8CXM3nZtcRiN3wA', 'Mythic Cafe')
('glkEaoxbewiSMBiXs945JA', '800 Degrees')
('Ybm9oTg0TwlvTw9Wo5PXUw', 'Globefish Sushi & Izakaya')
('BUcyHikUyo4U12-3RvDKlg', 'Paradise Bakery and Cafe')
('DzvNrAo1DJcqA_vZT6cF_g', 'Pizza Marsala')
('lYCeqldIiOggsbByH3RRhw', 'Metro Pizza')
('UwXOqtr0LCoWsGXP96fOuQ', 'Fiesta Filipina Cuisine')
('3uP7K1VgnSdEieDoH00A4g', 'Timeout Pizza Pub & Grub')
('a9sK9Ma4kIkN0Zpu0SSAtA', 'Mr Greek Express')
('M8_C-be43AQsH_sEgLPFPg', 'Al Dente')
('XaqWUocr0MlYVi5yusjk0Q', 'China Wok')
('4Eb70d1NQBv6UFDholHMYQ', 'La Prep')
('3fTI3ZQkzAugLS12_NFRag', 'Lazeez Shawarma')
('Gp8_vPUZBncqy4Fwc8ga7A', 'Go Pretzel')
('jDooRCbkYH74g5Tnw-SwrA', 'New Orleans Take-Out')
('42-UJ-c_97IeqUc6BWjmnA', 'Pho 88')
('0DapwcHS0YWNeHKptURSCA', 'Break Time Bar and Grill')
('juuv0QPE_MfnVjevQTpCDg', 'Manhattan Streets')
('d0aLkD3VQ3sijckod-oSDg', 'Steel Cactus')
('xBWn8DSwxzwkWL4JhfzP2g', 'Le Palmier Glacé')
('2q98StEpXcKOzNVI4WBmTw', 'Wolfgang Puck Kiosk')
('BoTQepQTjGbTXA4g4Hj-WA', "Antonio's Pizza")
('DbK9fyJq4O4zfT1jv6JOhw', 'Pam Real Thai Las Vegas')
('jkvKT1iAz9HswDXDe6ZEag', 'Cast Iron Waffles')
('OPIX1wTOll0aZT08Wr6sDw', 'China Dragon')
('ZcMRFFuvFt5gH2hdnpyigg', 'O Fuzion')
('-GUi0xyzwT9KJPS0v96dRA', 'Piza Pizza')
('eXm5_lPHh5X_pjlIFqbYuQ', 'Thai Chi Asian Kitchen')
('wD1Yy62SM9NxXkKSzQ18DA', 'Sushi Shop')
('fqoxgDiCuQbEwVRAzj8svw', "Como's Restaurant")
('mPQOzKCFVWepO9t2_mrjKA', 'Orama Grillade Grecque')
('-y3OEfG-Glha0qp2iWlxoA', "Wendy's")
('qWWVizgVxBaXXbE8Y-7-qA', 'Pizza Pizza')
('fnaDx7UD4MiodQlgYHDwsQ', 'Dragon Palace')
('1YGQsn4AHPbcVsRmHqbeqQ', 'B Spot - Horseshoe Casino')
('Lxe5I1HL-SiH8mA1c6OUmQ', 'Aux Cinq Parfums')
('U2SepNV2djq1hgk4WxL1mQ', 'Kabab Masala')
('YkxLtxukjmYzwbblch_hRQ', 'Chipotle Mexican Grill')
('sdMISc22hQ2hiq40qRzt1w', 'Edgemont City Asian Cusine')
('WcHMfQZzs3G5UVY_zBB2FA', 'Hop Hing Chinese Restaurant')
('JezHN-9KKLTMbojq00VP0g', 'Le Petit Triangle Café')
('0r1Ow0HYAAjU7oM_2ePN6g', 'Bull River Taco')
('Wttultg9Udt9MuxaGqLCDA', "Charlie's Philly steaks")
('Qt7BdM-gtofLUndUYmAs_g', 'Rotisserie Piri-Piri Masson')
('I_0Zb8Y6PKBGpZ192X8r8Q', 'Jack in The Box')
('JNmuI1loHR32GRv7MEI4-Q', 'Hero Certified Burgers')
('HpxtJa8EQOZRpuLToLseew', 'Café Zupas')
('zrDi4gEaUi64lAMfJU51dw', "Houston's Restaurant")
('k28OVH_iA7vI5dPtfNH2Zw', 'Manhattan Classic Grill')
('PChG1Dm0A6AXIXkXGVK8Fw', 'Sasa Sushi')
('owxcYAUca_6K6BAUX4V48w', "D'Pinoy Joint")
('yhoCIkTwHihWejVqGYZ4rw', "DiBella's Subs")
('neBW0IYhxkj9zE7R4TA3BQ', 'Chipotle Mexican Grill')
('2Umo6re4oAAd_GkP5RFWwQ', 'Whataburger')
('0au_HRvOYfhQyvdvjZdzUg', 'Oki Sushi')
('wKlH90YB5RYFvJ8N3pstVw', 'Union Standard')
('BivtUm8Aeg3kXBZSOw6BJw', 'Au Grille Pain')
('E9K1wSwr-3y7TIaVaoa-9g', 'Irish Potato Nachos')
('fXzMs__3HjTYwKPMAb4jYA', 'Tom Yum Thai Restaurant')
('G0B4WeOehT6wGk1JvvPDHA', 'Les Délices du Punjab')
('9JCCYWBL3EAK5qb2bjWzAA', 'Sunset Grill')
('CUtu_Y0_kXeAajLBBJUbPQ', "Lick's Homeburgers & Ice Cream")
('5N3rFkUeWQnOT5d8LqE7UQ', 'Port of Subs')
('0P9PCKJBC3TY9Ifcw4Y7Mw', 'Winking Lizard')
('n-htQX5fDg1VNiTKTJsu_w', 'Subway')
('_wg9FYGBJfRIp_Ueyna7Cw', 'DQ Grill & Chill Restaurant')
('Lm6mGAdJXGoVDylx3dXA_w', 'Ewha Korean BBQ')
('WL5n6c5FZWTdsLCE2GoGoQ', 'Pizzarita')
('Mpnh7Hut-zO3U-kHy2LfRg', 'San Francisco Place')
('t7zt6AgybRzdPtj7fh_aJg', 'Smoq Pitt')
('v2a8hI1Tsi1SgFKFWD39qQ', 'Wasabi Restaurant')
('Me_pYtoAeA2IkO8jOBi4HA', 'Wingstop')
('vL17CsjB1PsGgo3F-kppkw', 'Pizza Break')
('DQf63-KJ25m-kDIMto614g', 'Saving Grace')
('kdA5JlSuysSCsphCWpoqpg', "Mama Julianne's")
('LgpK_b2psx9OQ45TtnCiLA', 'Mr Hero')
('cTijnQZ7Tkg_GqXStcozsw', "Charley's Grilled Subs")
('RagiJXWUQTgV1scGNbWGtg', "Wendy's")
('wd0nFRiZD5YaDHeaAqUZdw', 'Chicken Bonz')
('aJPDsouSpAnaksj8uFHzdQ', 'Sake Express')
('ZQyCqgVF-nzhG4BGh9NLQg', 'Purdy Sweet')
('xePudDnTVh8CART_p0nlxQ', 'Hungry Street Grille')
('t_yiQnxUDdPPCN2z4QyezA', 'Golden Harbor Authentic Chinese Cuisine')
('VIJ2KiDKhUVhhpNylEIfog', 'Maize Mexican Grill')
('1FGxwdlDK1ZHSq9FSDHj-w', 'Burger King Restaurants')
('1_rKcIWq0baxOju3wJzprA', "Dickey's Barbecue Pit")
('HgqDZJpVY_eWJyYbFyTEfQ', 'Posticino Ristorante')
('qrr5PjTljEn_94tL83ETag', 'Lac Vien Vietnamese Restaurant')
('E-Kq1Yu1d6N3TL2qX0aqjA', 'The Wingery')
('HAvlj15w6j1noGeY0kleDQ', "Rosati's Pizza")
('SQXfzYs14ulj2TqmZo9HxQ', 'Senor Peppers')
('nyM76RUyFzekHHmYEU-KBQ', 'Eat Fresh Be Healthy')
('WSGHEQdcdbBWXDpna99EiQ', 'Teriyaki Madness')
('7os-CT7QI8P_sy1QKwhzjg', 'La Fiesta Grande')
('bVqNtwcwIz2gAacHWYF2lw', 'Moon Valley Cafe')
('wKygoTySngb2gaL6edvoDw', 'Yummy Grill Buffet')
('Z0JT0Ras-kMvJLMdn9iJQQ', 'Chili Rush')
('w96oa6oQk2kolYfy8Ja2Mw', 'Los Jarritos Restaurant')
('3yTStxt-5SuuvcUR9mZ1Hw', 'Thai Boat')
('ryF2_VC8OSNoe3VlA3bbkw', 'Shogun Japanese Restaurant')
('e-Hw1QkvwM2wN5Wm7p_msw', 'Old Country Buffet')
('uYDScUhTHjtnnxmzy4fgPQ', 'Jack in the Box')
('a6nZdebWiAZ97jync-vnGA', 'The Living Room')
('l6ChWz5fwhkvuEmThuFl5w', "Mother Fool's Coffeehouse")
('rWkQMRI6PRo5woBaxGD68g', 'Viva Café Espresso Bar')
('xaqW4NkmUCGRRjmLxiFJ6Q', 'Muncheez')
('6qa_KEqzJ9rqm70qqRly0w', 'Mon Ami - Brossard')
('p3DmeeCNz-BdijenlxGI2A', 'Outback Steakhouse')
('43ddDw5K4a2B9VgQcPn6gQ', "J J North's Country Buffet")
('IzE7CcTrNjIe7SPDQGrCiA', "Jimmy John's")
('aTvzqD5Kot4vp3vOnDyrTw', 'Messini Authentic Gyros Yonge Eglinton')
('0aA5l11oXes0aS6mkN5lMQ', 'Szechuan China')
('OkXj4z3RfzY0b-g2Ehuq5g', 'Cachitos')
('TPdtEIM_Jx_LmGhpbpFs6Q', "Gus's Sir Beef")
('JXX3c7ZBNEi3v1swc65mjQ', "Wendy's")
('oICXzFAaUMrYGzjRWmkw4Q', 'Anh Dao')
('KUZykABD2mpdzgsd5QTedw', 'Cuzins Soul Food')
('oNbHWBPd4O8unJqBi_MNDQ', 'La Nova Pizzeria')
('3drQZjrvh8EOJe5aSwYE5w', 'Pita Pit')
('N1XwkreWIROD2QKhb9qeHg', 'Brickyard Sports Bar and Grill')
('5GXKxdlJQOrmoPe0GXzJNA', 'Jardin Tiki')
('g5XW5RiVhykjleeRrWlJ2g', 'Flying Cranes Cafe')
('bCGKnZd4vAD_hak9TQQHyQ', 'Chipotle Mexican Grill')
('ZMp18tQQTjloj0pKSdENBw', 'Bosa Donuts')
('baHTGBUje_ULyIYoGivPVg', 'Calan Beef Noodle')
('MeSrAvgBNWHP2Js2--b6zw', 'P.A.K Crepes & Coffee')
('tgjbQEtZ_bvQBJOlfiK1OA', 'Mideastro Yorkville')
('ywF14Amq9SLX5o8Qnx3hgA', 'El Menudazo')
('Kx0MUrNQ737s-VVElk6Vig', 'Las Delicias De Las Vegas')
('sTigKodOrD_HIdcZ8msGJw', 'Sunset Grill Restaurant')
('bE9uf-tJu4g0ylUfufPSCw', 'Symposion Greek Cuisine')
('FW_zg6VuyW5v_vM394gWAw', "Rocco's NY Pizzeria")
('prPzWXNUJKZGnzVYqxRLsw', 'Cafe Pleiade')
('r8Jr-7YfkhJL2nxk9lxUNg', "Frank & Fina's Cocina")
('Mq6qiz-Bxgd8VE6tBwCuUg', 'Starbucks')
('yUqJReOv26454QkjGz37Yw', 'Shobu')
('tQm5R5UsWBzxsOGLPjfLJQ', 'Big Eye Sushi Bar')
('Nx8y33-xVdfFAELMoeZw0A', 'Pizza Pizza')
('M8UHKKHpJHd7AUiMTHGrOw', 'Walnut Grove')
('G7FRxL25QFiuVxUeTmKXjQ', "Paul's Tomato Pie")
('qLUr-ZPGVJejkSXIUenw6w', 'Greek Village Grille')
('RZqsf4rQ0Bw35QLgSlR60g', 'Tim Hortons')
('5JpT-YazYAR1V8wRk4tV6g', 'Il Mercato')
('x2nALssJGy_6p74ddxx3GQ', 'Efes Turkish Cuisine')
('DUAKXNEh7c2v8mu8nWKYOg', "Loreto's Mexican Food")
('kJQw3U9iLHO1MLLso3p2Uw', 'Suzette Brittany Bistro')
('grHISDkIGwttYthhW8DxCQ', 'La Crêpe 2 Go')
('5fg-RNWNbqyGn8b8wqe4QQ', '168 Sushi Asian Buffet')
('A4stJYgleftw47rLi1qTZA', 'Hyakka Japanese Cuisine')
('RThuRlhMdowhtY8vITEIzQ', "Mineo's Pizza House")
('gcec09O3lhUrzqXNJq0QVQ', 'Karbouzi')
('360zPyMTwLAax9Bq0PHdMA', 'Kandahar Kabab')
('58Zb67Gl0X1IGNCAYKbrIA', 'Chicken King')
('k9VTufQJnmey0li_8gLofQ', 'Edo Japan')
('LVQLyQBh-YrPx5E8OtBcsQ', 'The Wally Tap & Grill')
('e880MGw6C6PJL-n3EJoY_g', 'Zoes Kitchen')
('PUBa8BIIgkfhgE1aucXl3w', 'Quiznos')
('E8m4QMVVxhMb2UTGVYg1rw', 'Summit Coffee Outpost')
('5Xyqd_NxuHN3Wx7r-1RiBw', 'My Pho')
('rWy-LybUbtPdjNAgXESArw', 'Makmak')
('14m4FbWr2BIgrbSdPBKG8Q', "Debu's Indian Cuisine")
('SIGb2Q6PuoixOR4VtwgpgA', "Domino's Pizza")
('7SF6nn5L8djCFva8IbwRXw', 'Frites Alors')
('VV9LDkAI18BGHMOGBxA_Sg', 'Cafe Daylight Factory')
('k37Q9SambL1HADilIUl6xg', "Bobbie's Cafe of Sun City")
('6a7zecn8W8r9dDWwQVb6aA', 'Novecento')
('b4dtR83mPAcvmM2a7mqpGw', "McDonald's")
('w9IDJZeQhTQuBSTEu4nheA', 'Panera Bread')
('a9jnIeFqCh4-3pjwMaJ-vA', 'La Réserve')
('6dDItJbFIwYCmoLZF3iTcg', 'Popeyes Louisiana Kitchen')
('MjnBl6SHlH_C4toLMk7bGw', "McDonald's")
('jChH501KwN4lyfSUKtrlJA', 'Yalova')
('_BLsLFpxcwj7y35a-BuObA', 'Sapore By Zafferano')
('FFsG1lhnKz3_xyB2LyCXpg', 'Mugshots Cafe')
('NGp1HTYrPg3pMP-tXeLf-g', 'Fatburger')
('QJhwQcFKtBn8EahP58nh1w', 'The Grind House')
('c1gEqdcI9ocM3hkP2xtWHg', 'Heritage Food and Drink')
('NNs2v3f6FIdZ7cSu3LRaHw', 'Euro Shawarma')
('3iq7mvnwfYlOmdzENYolng', 'Hutaoli Music Restaurant & Bar')
('kDZm3fZcLhotRwC50XE_qg', 'Super B Burrito')
('QJbdDzunUrvAkiqjBGJaqg', "Domino's Pizza")
('VoaZRM80ydlYGMGJQ8O1CQ', 'Restaurant Zibo')
('8FZftD3Y5jQ2R44EDBqhlA', 'Cafe Bon Appetit')
('DkEOy5-hSds5Y9RvxMzCVg', "Fox's Pizza Den")
('nHWPpcHVC2nokXqyRy2DLw', 'Mr Greek Restaurants')
('1T0uhB3fMsmkfsECmbYkvA', 'Motherland Cuisine & Market')
('kl2kuAgGZ7tfi9kznMhQNA', 'Crimson Teas')
('ZMH9VRSRdGsECRjxFYpLqA', "Johnny's")
('2VtTzskzFcwVnXgGYsY1lQ', "The Captain's Boil")
('stbX9rtRIpDF-VymOwHJ8w', 'Nu Sanctuary Lounge')
('JeuwGHY3knsBKt3KegjqrQ', "dip 'n dip")
('CIUI73p0D9TSCUvNznn_Eg', "Bruegger's Bagels")
('sxcIt1KsAyeZklKOLaKV8A', 'La Dora')
('cQzFj5GNz8l_VMJJnW4mLw', 'The Edge of Town')
('qCTuGaciae73u7C57s2_0Q', 'Poonam Delite')
('qqU3d8IpcIw2BJrsGxSL9Q', 'Schezuan Express')
('qQu--8A6Ic0rytLfI1r4dg', "Wendy's")
('96jJABN6g_uXFdhZ54bzOw', 'Maggie Oakes')
('0aHtGtR07SL1S--uYhZjqA', 'Mazaya Restaurant and Cafe')
('Jdqg97lLo_qJlCqU9RjIEA', 'Dairy Queen')
('p6EUf6c9GCfG7seS_wfFyA', 'Stax Burger Bistro')
('c6lzPktduqtKqRSnX_CUTg', 'El Panzon Y Frida')
('WwrKHFXpBqLQAkhmU01Xvw', 'Seoul House')
('8al-XRt5nuIize8_STWffQ', 'King Slice')
('qU4wrOVqDfddr9PP_ssmUA', 'In-N-Out Burger')
('ykwGLizkYXRsYy79kDFAKg', 'Subway')
('uFiGYsAWSLpmVIMgDgN9mA', 'Good & New Chinese Cuisine')
('2p346MdyPISpZ2k-h0GSqg', 'Flaming Wok')
('X54KJLDkLE1Raaa5hojdnw', 'Grillades Torino')
('k0bshBw75w00xmZEsbhufg', 'Eggspertise')
('A5tvf0CSH-QUnpyMI4m5ww', 'Jade Monkey Cocktail Lounge')
('Rp7ABbhY8kUpgwrzJADnqw', "Tim Horton's")
('p6mnPa2-__9ttPTIfecc0Q', 'Subway')
('bckqzFzb5GhbpsWLi45TrQ', "Gruman's")
('PKjdnTWQSygpOjlWl8VzrQ', 'Whistlers Kitchen & Bar Wood-Fired')
('1E1BN1eJQX7j6EdepVxoMQ', 'Astra Meat Products')
('8IblwilNlenDVwBbEzQEVg', 'Canton Dragon')
('Gl1Gat-8W9wh8eydkslHJg', 'Boardwalk Fresh Burgers and Fries')
('v0QLhufExBeb-DoSteAaww', 'Wild Taurus')
('QgsdA8aEWqbns5XoI37TEg', 'Five Guys')
('D_s16LOzlDkLwa4S8QPabw', 'Port 229')
('0FrYsoVHheQGoXEQsH2d2Q', 'Aroma Cafe')
('hdOkgm5wyn1hOWLlqq5hyA', 'Oasis Urban Cafe')
('UAXz2KC1aXpxzV-MLdXbmQ', 'Delhi Bistro')
('Kz4WS00PcqOJgxfZawk4dQ', 'IL Forno Italian Restaurant')
('jkQpuxSySj1APnZ5AR8Sdw', 'Tasty Chinese Restaurant')
('Fv3HvJPQYqfmniTgtIQJzA', 'The Coffee Shop')
('kFJOrVTTLtc619LkqKiD8Q', 'Dairy Queen')
('CR-gLUcudD0AQr7dzASgLA', "Two Sisters' Thai Food")
('oCTu8oSITCP6pQzDbB0oSA', 'Perkins Restaurant & Bakery')
('QkVDxEo5-_3EScH0cXKDfQ', 'KIBO Sushi & Tapas')
('qPz-Uq6CTp6pq8LtmpIe3Q', 'Shogun Express')
('ZArHo8slPY1RidxBWOEm5Q', "Domino's Pizza")
('ZTg8adZipR3QDoJmFZZqJw', 'Yard House')
('ZosrzTfiiPhbURA04AQTUA', 'Pyramid Cafe')
('B1dCyA21u1mG1bcrq9TTYg', 'Hook Fish & Chicken')
('qrjRRBOUmN7MFxBQNuJZIA', 'Checkers')
('F8p7jBnOJIcclFL8AEVt0g', 'Five Guys')
('CbpQD3NxSEoN4v7VDXYHAA', 'GreenMix')
('fDi6ZNZor88A9YOvKe2m2g', 'Magic Idea')
('uS1CfQCPuKvE9wRgavCbog', 'Green Papaya Vietnamese Restaurant')
('RWIavDLPCkzyP_ZpkeGtcA', 'Machetes & Mexican Food')
('qTW6-NUaIX0oZ6A3M3EarQ', 'MR Burger')
('6I6uDGwCDggrWXi2T4lfaA', 'Buns Hamburger House')
('5yZ1XmDcOEsElDeb9PlPDQ', 'Yagyu Ramen')
('Wx0ll2UHZl7NBAOFeL4m0A', 'Cafe La Bella')
('joykx2LTxkBKvh-fEk4aKw', 'Lucio Ristorante')
('2QznyHGF0PuiYkrl5RU66A', 'Playa Papagayos')
('3Nx9NCzMTXC6jFgdk2mDGg', "Charlie's Market Buffet")
('vDvEXD2ZRi6IDdxc0VqaBg', 'Chez Cesar')
('BP8Wwj3uaYxDGvnt0OVZ9A', 'The Lobster House')
('FYvYXaS2yXo7Vb82_rnvHg', "Robin's Nest")
('mdUjJFZaQoydAGadzFuFtg', 'In-N-Out Burger')
('PrWHqgeH3fVLimrit6jIiA', 'Lili & Oli')
('96X4OwboB2qCLY7tQ20wMg', 'Rainforest Cafe')
('4kfBkT78TrllYrLss6gSew', 'Le Milsa')
('eriBfdF9Gr2U7EWX5z5kOA', 'Soucoupe Café')
('cgCvvpYzGaanZP5LGHWWhw', 'Burger King')
('9mIm1ef-NVDQHFE39Faxxg', 'Vine Tavern & Eatery')
('6W20fKnjqPTSU2irnSVmSQ', "P.F. Chang's")
