9797 businesses are not restaurants.
('Apn5Q_b6Nz61Tq4XzPdf9A', 'Minhas Micro Brewery')
('zU63bs3Ofe8y1peOgOFJaA', "Connolly's Sports Grill")
('cY70RdP5w6gxRhY-wZ681A', 'Shahi Karahi')
('xUgt16DZ-gq67E2C9VbYgQ', 'Punta Cana')
('5PlbORAcmUAJ0QCMJRSmDw', 'Imperial Kosher Market')
('i1e8KsIy1ELvI7G6mvvZkw', 'Havanna')
('CDqPVVvQtVncNQGydnZy7A', 'Beachland Ballroom and Tavern')
('lnO5GhYbFenXg2CxIThd3A', 'Raj Palace Restaurant')
('pUfydTma1QSFhYcGUwhzSQ', "Dunk'n Dip")
('GvSb0uWmBsB58jbzpogciQ', "Tina's Gourmet Sausage House")
('gE07l6v5mp5TPM4awcm5Xg', "Big Guy's Sports Grill")
('cYoWzOzgoBXgt4o9t2mqEg', 'Gasthof Stöberl')
('0lQeZyb_jLHf44yBq7V5-g', 'Raps Authentic Jamaican')
('j7kbWAOWbpbejCaHyJwqjw', 'Time Capsule Board Game Cafe & Bar')
('oPZKPLyEjFDHPlEDVWCAlQ', "Ceili's Modern Irish Pub")
('TlWXWTycakYiPeRc4d3yTQ', 'Kabana')
('hDiF5osOoINuE5w1SO7Hkw', 'Gateway Cafe')
('oreF3CPWsX2lHq0V4AZQKg', 'Desi Hut Takeout & Catering')
('LgYC6Y9WPlmLROJuFPaqmA', 'Sage Garden BBQ & Catering')
('Y8heNCqlpiUVxpXxcstq8Q', 'House Of Energy')
('B6Zjwindu_x2nB8VBkI1Ig', "Applebee's Grill + Bar")
('drecpkFkgxAuvSglTIo9wQ', 'MotorMouth Food Truck')
('nHV1iXKBVlCW64bCt4itnA', 'Keating Channel Pub & Grill')
('Ta90zFGKnzjZHQooIp17Tw', "Philly's Italian Ice & Mobile Eatery")
('JZDJPYLWwvDNIwh41zJGwg', 'Café 22')
('H5FobRH6ZnK8Y31HpXyJCg', 'The Bowness Pub')
('-PiW_4YblATeoP7F8eOnGA', 'Waves Coffee House')
('9Fm-OVlt1fXIHcp5QJisuQ', 'Brew House Bar & Grill')
('NwzHJzuhtxiKX9_vsRrOkA', 'Poke Maki')
('6eBYh0NQ80cCAmC4ajlKuQ', 'BurghBurgers')
('1HYHJs_AV0ebabMeoaRXkQ', 'Rustic Hills Country Club')
('CN5nuUQod0f8g3oh99qq0w', 'KINKA IZAKAYA BLOOR')
('5V9i2FuhQ3o8ynYwbubmQg', 'Uptown Bar &  Lounge')
('U8VBmn3BpDx9udmALk2TBg', 'Bob Evans')
('Blfn30Y8tvYq903oLiIf3g', 'Butterfly Wonderland')
('541nO8Z6V5wZufv3yQZGQQ', 'MVP Restaurant & Bar')
('VTQieSNIlcUWDMWLPqFs0Q', 'Serendipity Cafe & Home Decor')
('um8QN5jRfz7iMXQSEv5qQA', 'The Pitstop Bar and Grill')
('1CSMpBHr3mYd9XEOldM2yw', 'Fresh & Easy')
('U8Nu8uK7u1_LhoqRqLTeBQ', 'Brigade Volante')
('E7e2uOC6myfPKrKHLP2ROw', 'Freshii Oakville')
('Orgm9nmcClxnAUva4nOKyA', 'Hot House Restaurant & Bar')
('vAcwjwtHupHOc7f4XLH8Kw', 'Snap Delivery')
('VNyWT0hLkIHzt5HQ0W4tSg', 'Tilted Kilt Pub & Eatery')
('BopPNhmn66uUDL2dVyDjHg', 'Tandoori Flavour')
('2lQVNwzNo-SbVD5lXzNnZA', 'The Caribbean Queen of Patties')
('WuhUKJAoby57lLjVLpQVPw', "Jessie Rae's BBQ")
('tNPWi75s0o20rNERLg6R_Q', 'Bombay Cuisine')
('bXHbLuxyBZemyB0j7GJbTA', 'Boneyard Bar & Bbq')
('7mOWMhlibS62hedb1m5A3Q', 'The Summit')
('wtazPNyIbsRMHmrpEYbqZA', 'Golden Krust Caribbean Bakery & Grill')
('7LQIdwOgVKkm8oc-6PK37g', 'Fritou Chicken and Pizza Forest Lawn')
('8xI4hJ3nS4avEoo_l62dkw', 'Square One')
('cSwEDCPtfN-t545eQyGhmQ', 'Buffalo Wild Wings')
('THc8RsAa8_ohIR21NCnLog', 'Take 5 Rhythm and Jazz')
('P5O3wTsW8bdWQV-zf4G_Vw', 'Baxo Cuisine Bar')
('8ZpXbFWIY4uEnmOJMr6gyQ', 'Pour Boy')
('dgiHRAOtyfa6Z5dO_4qh6A', 'Bob Evans')
('W3K_5U2KEw0gxK7cvuB2mw', "Mitzie's Jerk")
('FmraE2CWt65VRnEqCAqNEg', 'Harvey American Public House')
('2pO75YSZxVmY6mz43Q-LEA', 'Gentle Strength Cooperative')
('E0vZWNBWe-LwdECQFIjnug', "Boardwalk Billy's Raw Bar And Ribs")
('c4-Inez2ZNBDOqmVb0uPYw', "Good 'N Raw")
('HQl28KMwrEKHqhFrrDqVNQ', "Deagan's Kitchen & Bar")
('cZ86R4KIvSuTZiC5U4mhFg', "Goody Woody's")
('28D2tIP_K95wZKFKmxYT4Q', 'Chick-fil-A')
('d6kfTFKpKJX93qAEPhBGAg', "Lupita's Hot Dogs")
('sGAbBm8eX6DY5R5S2NSy6g', 'Shangri-La Hotel')
('QB3y9F9SByx_s6oKSTaSsQ', 'Miracle Mile Deli')
('LBHbyID7tcaGszznHtnCrw', 'JOEY Eaton Centre')
('nxbVyDfknWtycymHluAzSA', 'Skwish')
('4DfdGNc9Y6H-hAwC73bSnw', 'Ahipoki')
('mLwM-h2YhXl2NCgdS84_Bw', 'South Florida Style Chicken & Ribs')
('bns0V-7B5eAUBQ5qfXL12w', "Gabby's Junction")
('cZ1qYRXkJTyCVtXbvn9xhA', 'Palma Pasta')
('3AqcqVCCv5a7X9EVeq0CwA', 'Lis Doon Varna')
('007FFjmDHkT9cLE6O4Cqxg', 'Arizona Room Patio Grill')
('EH194rct73A1m0XxPp4ABw', 'Rush Inn Bar & Grill')
('Z1r6b30Tg0n0ME4-Zj2wQQ', 'Boardwalk Place')
('IeXVSmtOx0-kntCM_ZX0Zw', 'Chia Vera Health Bar')
('-v0d7t-7AjNzn9GzdZZGDw', "Franca's")
('AHeilK8QgEn6on7tGFVYnQ', 'Roywoods')
('_BJ2lBc1TWwIfxNzXbaaBA', 'District 28 Bar Bistro')
('RhcWq78faX-jmmKwVE35ow', "Shane's Rib Shack")
('sHNqKLyr09fbaY2OvGaDVA', "Rochester's Family Dining & Sports Bar")
('d6_51PI94EC1C5sG9hi6HA', 'Timbers - Novat')
('ljkkLrW1j-tZtrJq9SFjVQ', 'Hempful Farms')
('t5fosfj3K4SXi20u5tSOIw', "LJ's Sports Tavern & Grill")
('AdB7a8eo7uK_Fq-aX6_l8g', "Ammaccapane's Restaurant & Sports Bar")
('8IqVdS0q-JpzZc1-it4lRg', 'Food Cabbie')
('XHuDSjhdEdir6-ztSyCvHA', 'Apache Lake Resort')
('u3q_fVU-qxgoGWLPVy4nMw', "Tommy's Restaurant")
('ZdFl7MqnF09dcifG1j7l_w', "Applebee's Grill + Bar")
('x_TqELcRUk2csOWxqlyrzA', 'Bob Evans')
('gHnLa_Y6QuyBZiPQKolvIg', 'Roosevelt Resort Park')
('6eRSdODyj9GS0w6zlhrWkg', 'Adega Restaurante')
('0nCwewaRirX8wHuSZiaCfg', 'GoGo Chicken Pot')
('Ds7Q4ix3luhMmm0kFt2xVg', 'Laylow Brewery')
('HMJ0-SIWhvzFIkoWb2H9hQ', "Salsarita's Fresh Mexican Grill")
('NEJBlKEqDDll567f-mf1uQ', 'The Original Jerk')
('NfwiVSw3wtfTzGrzbVZDEg', 'Kelseys Original Roadhouse')
('VGWEpMEkzQopS5lUNd06Sw', "Miller's Ale House - Las Vegas")
('HhxrnG7dm-oVDzAadjWTog', 'Bob Evans')
('QcWSAa1R7jL-KQLzMSXF_A', 'Smoke N Sams')
('K5iqS0JXnKFFujZHIWQsag', 'Dover Gardens Tavern')
('OFAiA6En2HD0CqLkFDCNpg', 'The Host')
('B04F5Jvb4JsZdr0Sc9mbgA', 'Bob Evans')
('q78MJzUmIQmSbSCZEicemQ', 'La Belle et La Boeuf')
('3RbQH-hz2-MQOBAG0gK_bg', 'The River Rat')
('DKXUkIrFnMUMF535gf-dPA', 'Frijoles & Frescas Grilled Tacos')
('rUgLG2CzPi26e6cMUjk4kA', "BP's Hotdogs & More")
('fSdtFdU8efDI_MXTPmtYjw', 'Pathways To Perennials')
('kOFDVcnj-8fd3doIpCQ06A', "Mildred's Temple Kitchen")
('Wg91oE233AzNieNryRJYYg', "Applebee's Grill + Bar")
('y0kIBav53i8OruU9e0ZqQA', 'Mr. Chicken')
('eQRopptwTiGRGOqo5RWxbg', 'Mye Japanese Restaurant')
('FTUkGtUgd38pOx71SaVovg', "Waldo's BBQ Express")
('l5MKpZThwcinpNmv4lcBgg', "Ducky's Roti")
('jaWslKj6GPBiDrwLDPGUzw', 'Beagle14')
('t0HT9od2xZ0Fc5a0PFB2BQ', "Kam's")
('8GUMO244E8CxfJcyJIWFOA', 'El Charro')
('5BLM9Sr-2DoDLMrzGZfJmQ', 'The Board Inn')
('7XTGtaKjANmZqp2QtN_iPA', 'British Open English Pub & Grill')
('evWjIBX1XbGHVfs6x3dr0Q', "Pirollo's Delicatessen & Take-Out")
('3frFidAcPVYAFB2RxxkIdA', 'Star of India')
('-TSAXAz0CeNv73OAh9wu2A', 'Vagabond Brewery and Restaurant')
('twYnXojfrxKFrN-SRlIapg', 'Design District Urban Tavern')
('IPV-KGMLNvl3WRn1rFpk6w', 'Greenhouse Juice')
('RzhTIiTkiawbuwmsrz5Qqg', 'The Chicken Shack')
('3akSOcI-uzHOwGQeZD3NHg', 'Native Grill & Wings')
('Wrd9LAbc8IOoAS5H6uw9sw', 'Delhi Palace Cuisine of India')
('KuxDPl6UYNLxFChPm0_MNw', 'Brownstone Bistro')
('rEsJ6tgn_zTMjs5AqMXwGQ', 'Main Event Entertainment')
('RdsUw-gfrDQVCM5sygQ0Ow', 'KFC')
('thBWpIcP6vclsHS6GfI1dw', 'Hotel Valley Ho')
('UyHRN8FbSuk5c46Mu5AOtw', 'Sunrise Caribbean Restaurant')
('SLTHbdE3u3jfxtJZEuyhjQ', 'Cannibale Bar')
('5hYLxV7F8HJPk3ZUkbXH8A', 'TGI Fridays')
('ybFJUdRaN4eCff-W3HHiEw', 'Grumman78')
('ePuf-SdhVzNojTRRlu8J6w', 'Mountain View Pub')
('caGXS6ubNTlv91ZZyoirjQ', 'Primanti Bros')
('Fgt70HjHhw5IVYNYulsAng', 'Crepe it Up')
('gm0BzFmjonr-Vsrtt-Zkmw', "Bojangles' Famous Chicken 'n Biscuits")
('_YzvyyudPRtIZkWE1Jmt_g', 'Cafe Supreme')
('ZyYWnUbopxby-dW4eOovxw', 'Ritz Caribbean Foods')
('VURmKrp7gjfCO1izrJ7JPg', 'Bob Evans')
('urh6u1lm8kjwwhtfjT772Q', "Danny's Place")
('r4hP0FlsYVr-0bv-kdFIBw', 'Nice Bistro')
('QJg8AuqITB4t_iKrLI6tOw', 'Bodira Cafe and Fine Foods')
('mX-JBn5pPhGzEaNoTtEdhg', 'Bone Haus Brewery')
('tGX2FQJnPlWSCbkzM-x7_w', 'Hilldale')
('vmg_VdqXVOVhUoacU2pfdw', 'The Bar @ Las Vegas Blvd & Wigwam')
('5gQhXemXe_dJX3eMRpyfNQ', 'Pho Hoa Restaurant')
('ifbCSKX1p9t0iJLc4AKhng', 'Le Montréalais')
('dBRMdGVzJ2mHtKuOqBS9lw', 'Jacobson Bros Meats & Deli')
('N5ODTHBMLxTYZndi-ftTFg', 'Bero restaurant')
('njaKms2uQcdTtlI0urqPaA', 'Alzohour Market')
('MrCE5xnrwjmrC5Rt1yRG4w', "Rapini's Ristorante")
('OyPWyqSC_dtLQsRJJhvlSQ', "Roc'n Doc's")
('jx4VrFSwbBEUWMpvV4BS7A', 'Satisfied Frog')
('GKK0iaO5Ua3yeT_KFh0ICQ', 'Kaleidoscope Juice')
('IhM1UBvAMM5Fia4f_v1wdQ', 'El Nahual')
('wgltxrKVPx02XzFGwW22kg', "Tal's Bakery & Deli")
('dhpzraAYdlZEomsaZjt5yg', 'Island Foods')
('0NDbUCHi9YsRwgG3iZO8Kg', 'Cafe Tandoor')
('i44uHKmr9kfoTfNOJrKhtA', 'Swans of Inglewood Restaurant & Public House')
('oWM1ZEsqgJYMgvLbWUwuaw', 'SpaMassage For You')
('x-yv0YJrE-BxFAHADsnPyQ', "Aristotle's Steak & Seafood")
('ZQBUBnccfiCzQTrEwNy-xw', "All American Dave's Fit Food Truck")
('tVR4gTAdjo8QY82W9Dp6pA', 'KFC')
('yBufRP1YQp9vXmId_Y2iEQ', "Applebee's Grill + Bar")
('dhrv6GXy5otbzabXMXbOLg', 'Sunny Side Up')
('xAVj_vQj9eTHorWMxY4CPQ', "Kolby's Corner Pocket Billards")
('SILSPO3t7JEMJvDjDPTOag', 'Nortown Foods')
('u03fkCkAqGZsHPTBXuJz0A', 'The Lucky Penny General Store & Cafe')
('lunr-1P66JN6rkDk6EtWcA', 'Glen Lakes Golf And Learning Center')
('g9JQuGPWCif3hLNktDQRsg', 'KFC')
('5J-g5PTfTEjvsnrFmTg9mQ', "Dale's Pub and Grub")
('FMMNajth88mWX76QVp6N9Q', 'Maharani Restaurant')
('OY0-hYJ2q6WiAqhYnCZZ0w', 'Brat Haus')
('TxFO00nUyUXZbPOx8SuAWw', 'Haggen Food & Pharmacy')
('34S8AsI7BQBDuTK147Pz_Q', 'Copper Door Bar')
('MWyv0delstZwPcBkGzmwbA', 'Legends Sports Bar & Grill')
('rXMfoViOF8kKuyBSF3Ls9w', "Jack Astor's Bar & Grill")
('pH8wBVS2lYktbbZ195OvcQ', 'Aldersbacher Bräustüberl')
('yA8iKH7GNFzA8jgyvjAg3g', "Dave & Buster's")
('nLGgJBtMfGv7_juXipXheA', 'Cloth & Flame')
('0lFAD4CuWcQVl9u3-lRaCQ', 'Cruisers Bar and Grill')
('_V0yJdpXrbdKzBDoVSJGWA', 'Silver Sevens Hotel and Casino')
('9f1wph9lPCgGUSlprJQM0Q', 'Burwood Distillery')
('7vWb1Afpm2arr8NCaE_EyQ', 'Ogden Mart')
('ZU-J5OtfgdNm0uPdxYNoaQ', 'Friendship Restaurant')
('jeC-gLw7vmD52JXdgPqxNw', 'La Baraque du Vieux')
('UCWxBbobmKncrn9WEE5R6g', 'Boomtown Pub & Patio')
('cpkBJhBujpBFZ0rOItE-4g', "Trattoria D'Amico")
('uq6pObMcRA2OK_UUOSP0Gg', 'All Starz Sports Bar & Grill')
('pYeQ80rPttM6KzMQ3MXE8g', "Nied's Hotel")
('Tio3EL8WMRtbmVk0Ga2XFA', 'Dogos El Yori')
('PAZC7ENEmDDgNMZngJSxxg', 'Hungry Brew Hops')
('w7v0_gmsAtZRmn6dL1Fqgw', 'Pokelab from Hawaii')
('0gXYLVPNWz0WT8wXQVpS0g', 'The Herb Box')
('0iTpgvz5XJzFAo253nIE0g', 'The Sidekick')
('f4olZM4iTVH6a7OFApCW3A', 'Club Espagnol de Québec')
('AatMT18wQ9QTgb5yKebtEw', 'Paintlounge')
('-nbAReBg6lc9EnCsvwz0BQ', 'Rôtisserie Scores')
('9e7qDz6ivNpnpi7CAwO0QQ', 'A Touch of Ginger Delight')
('4O8fzz9F-XEsQ-gTMgkiyQ', 'Restaurant Les Pyrénées')
('qRhxldX3lnOMJUNlytYvfQ', "Applebee's Grill + Bar")
('ddMOhA5QoKByjaHGK8r7xA', 'Legends Sports Club')
('zidkKI_N1OPxsiddTOQH_Q', 'Naked BBQ')
('y32M2Hkr7GsUqGG6KwOhZw', 'KINKA IZAKAYA MONTREAL')
('JSNc3GdNH3LpE3HdTQl17w', 'True Brew Coffee')
('BTf8sELl1TjovRc0f-tgJg', 'Boulders On Broadway')
('cBRyXUbtQdBgySml3yghJA', "Tom Ryan's Lounge")
('FqviVFdQac_dVwVMrNtGBA', 'The Innis Cafe')
('kQnTHh_KHyV-JbltviG8mA', 'School Grounds Cafe')
('o-njcgwTLlcSR2d4KuxulQ', 'La Bonne Bouffe Créole')
('A-2rj2poYBBjtenXSzKsyg', 'Spade Bar & Lounge')
('fMtJHpD-l0GGFKr5xnbWnQ', 'NOSH Arizona')
('ub2HatLrydRzmpYJi06i2w', 'Mühle')
('KcM3gCTvHp0Bgkdj0IF-8A', 'Sugared Edge Bakery')
('ELIINdJ7w8FcfcGqoGbPoA', 'The Rusty Barrel')
('TKKX9bllRBMzp0NYr441PQ', "Mi'Hito Sushi Laboratory")
('Q4qbZpH42rmFnFrVZ-gjvg', "Nando's")
('V0d465vIa5ZQvsbq1rlLkw', "Shepherd's Crook")
('1NLY_4-U8I1pisOMrgZELQ', "King Richard's English Pub")
('Cv3NIg9Ahl-x86riaalXSA', 'The Dinner Detective Murder Mystery Dinner Show')
('hFDC6D4Tea3badPl2d9KkA', 'Falling Water Cafe')
('w4a6TuFWArSc29dB51rPNA', 'Bar Cento')
('6CXbT-93uEsnlg0wSz5YiQ', 'Tailgaters and IL Primo')
('uVkOVB0FJ9INOBmzB8ai5g', 'Restaurant Peddlers')
('2mI0FdapwN54m2NBI21G-g', 'The Chickery')
('PVHC67qH2d6DonAGRxvymA', 'PaintBar Madison')
('a3jFGgoWbPkPGENEafiXwg', "Binion's Cafe")
('1wUlOwl4P2PlQY7AOTxwjA', 'Restaurant im alpha-bowl')
('KVz86HhyBQO4uC4aur2pbQ', 'Daily Delicious Jerk Center')
('5N8R7ALESZ30EoAzVJtabw', 'The Dirty Bird Chicken + Waffles')
('MPY4kapqEmltkwwnxKrW4Q', 'NINE18')
('33Tr0eRki1Yamzleu4GMdw', 'Rosallie')
('ACKOgPzUkd8uoglRw5194Q', 'Failte Irish Pub')
('15_RC7c4aPYFU0MzqXjLjw', 'Roses Run Country Club')
('MO8vR9uw--ELG5J8CbdZCA', 'Chi Town Dogz')
('Y_jBZDRBdILqIUMqiTHgkQ', 'California Pub & Grill')
('glVCZzuFSnf24UGYsOl2Vw', "PT's")
('5o7Fx7Iot-gLKVNegLLw-w', 'El Santaneco')
('9DxJTxiTJQdWI85MahuWPg', 'Lotus Food')
('aGe49TdPiWCA_5gxMss2fw', 'QDOBA Mexican Eats')
('pQ4K6ZXC2vGsatT5Xw3ILw', 'Astarté Fresh Yogurt Bar')
('N2bgjl3Z3O-sztvnn3EaDw', 'Boston Market')
('nZAJ2a2-Oyxt6GzX97i2pg', "Jimbo's Bar & Grill")
('1Ru2m_TlbOWJ8dkZ_mskjA', 'Le Dorchester Cuisine et Complicités')
('Ak6yxRgKiiaKm2qIrsIxJg', 'Boulevard 1820')
('sJP1QOC9foqcu2_udjoyIw', 'The Caslon')
('siZLn0XBNiOe6UMGeHOkbg', 'Pyrus Bistronomique')
('YjJnGaqvCpxspBLxXrOA9w', 'Gia Visto')
('FQXu06x5D5huxPbK04DItw', 'QDOBA Mexican Eats')
('4UvQ0BUbqlNPJbAggsi0eA', 'Delightful Chefs')
('oqw4S8STSD17Zik8qXxp5w', 'The Brew Kettle Amherst')
('358UeNvBBE03JKX3u2FtLQ', "Jason's Deli")
('eAC2IhOVB42IZQZIG2McKg', "Balzac's Coffee - Powerhouse")
('dBCDRobULrxeSDvQyudcKQ', 'Onion Maiden')
('jfK5RhtgZ9-lulCzMwpZbA', 'Shisha&Co')
('KBBXaD0FXDTpFuTuSJ6yHA', "Applebee's Grill + Bar")
('-L9TeQN_JgLBvqf9wmsBVQ', 'The Broken Spoke')
('x4tKwQK09akHC7qONjVKcQ', "Hambone's Neighborhood Bar and Grill")
('In1B_y225-bJw3jfbk1uAA', 'Ako International Market')
('ARFcbubMpK34AU4t49PSxA', 'St. Louis Bar & Grill')
('COKSA2i-9GVwKjCu5jI8Ew', 'Chicken King')
('dq4c_0btrrdcz_Nq6RV02g', 'Cactus Tavern')
('sSExaL8luneZit55NqQ2uA', "Malone's Pourhouse")
('wj98N3Jc8uZLiEML_J566w', 'Punta Cana')
('CcRWjsitozphrvUlDrQwdQ', "Domino's Pizza")
('PxJXsLv6cad2YJAwj_LfAw', 'Le Rouge Gorge')
('TG2t1506rIs1OA1TfH0r6w', 'Fat City Blues')
('Wvj7_MtfViFRXrljkzYXIw', 'Sheetz')
('WPUf-Eo6PHxDNqPygahiUA', 'Tempe Tavern')
('ltGrILPoBdhDPW7puGmI1Q', "Brendan's")
('YZjqtFlSw4OTbZmvaq91Qg', "Matteo's Gourmet Food Services")
('uDeycmwCy26ALJHeG3SsEA', 'Buffalo Wild Wings')
('OQ9rVtBEFFI4jkdEo9AoRg', 'Loons Restaurant & Pub')
('-0RRiWDtfnS16AKCtfvBZg', 'The Independent')
('8SwMaPL6AJIs1ZPSZ3NJ4w', 'Forte European Tapas Bar and Bistro')
('7iZYl52Gtica73shRYsuMQ', "Francesca's Al Lago")
('Hx6HNJfEGgllQ3-dyoNDbA', 'Twin Peaks')
('RwPbu8c44vCim5a1b9bSXA', "Bojangles' Famous Chicken 'n Biscuits")
('RDEghtiHqKsNd0Un80s78g', "Rosie's Kitchen")
('q2l6L-gdvIZewh7n5_xasQ', 'Banknote Bar')
('X1twjafYxMCpKt2MqvY5Tw', 'Morning Star Cafe')
